Id,SalePrice_pred
1461,117032.04836382167
1462,155357.8461988491
1463,174194.59952487476
1464,192203.93771425844
1465,219168.39326281333
1466,170220.41138567255
1467,186264.2766091363
1468,159674.90251555873
1469,199846.36399023395
1470,119670.06550077596
1471,173503.07556541284
1472,102415.78075009669
1473,98975.80106430978
1474,149876.98821802333
1475,109604.78874701957
1476,364591.6749281747
1477,254440.40046758164
1478,317302.13748030434
1479,300783.5774874048
1480,456118.8089222788
1481,305190.0900423884
1482,212426.22388945185
1483,175034.1829591576
1484,154398.96749217328
1485,184771.15600981956
1486,197127.74910722458
1487,322234.9424265331
1488,232173.66812997416
1489,196860.58121185136
1490,252633.4175161397
1491,194285.65994994895
1492,98978.53731484493
1493,202206.50121608743
1494,304467.585852556
1495,294996.6087237017
1496,238480.60468760342
1497,176767.50445401194
1498,162221.07359009178
1499,162748.8964773997
1500,160059.83226530175
1501,201787.87722362866
1502,149981.1826880729
1503,272803.47404221474
1504,236195.72932429984
1505,225262.10264190432
1506,184613.40578283957
1507,239825.50497411433
1508,187389.67379393658
1509,158116.50661797868
1510,140963.06805423804
1511,141624.06236910788
1512,182154.94731755985
1513,149669.84970978604
1514,146692.9931909994
1515,203965.6792092473
1516,166850.07849200998
1517,172559.37498290944
1518,123083.52686420942
1519,210203.817341889
1520,127215.33080592476
1521,127058.44919953095
1522,194579.04453337134
1523,104697.639285587
1524,120381.09929707937
1525,116205.05697918945
1526,96474.01554104088
1527,95464.79435253769
1528,145979.28639536747
1529,140326.62864487257
1530,202419.88073212877
1531,126878.2695597532
1532,109749.26219758546
1533,144598.16154575677
1534,122602.07703457646
1535,160338.52794326787
1536,108457.28442058468
1537,35012.71342142418
1538,151259.05317130228
1539,192905.1069231058
1540,116452.7950315708
1541,126330.0434882417
1542,149924.74206339277
1543,176750.74126257707
1544,93777.91619201038
1545,117989.82545075167
1546,139789.65296440377
1547,146984.8741293196
1548,144660.68234825096
1549,116936.59118406459
1550,139101.20469069132
1551,115525.48663946302
1552,149110.57689936642
1553,153730.84889152396
1554,124081.40030937825
1555,167322.2770151723
1556,77037.88976928621
1557,120453.25269316765
1558,94073.63132083064
1559,71780.17344425168
1560,142269.1818163075
1561,121918.85264558104
1562,129306.17127446044
1563,118018.22960364787
1564,159732.01061142614
1565,152332.07098774574
1566,231655.2265026485
1567,74862.9007453265
1568,222636.03611101615
1569,118883.1118121125
1570,134876.58464624896
1571,96159.30181489704
1572,144439.19896948195
1573,238449.1792600507
1574,118634.30886177644
1575,234697.59978039097
1576,234594.03411263588
1577,179194.08335744584
1578,143821.0973784289
1579,134137.4506428982
1580,189032.04512504122
1581,160583.6547475351
1582,138062.44713365383
1583,271244.16679908155
1584,222534.81562452661
1585,138790.28978608412
1586,51690.75274069459
1587,95224.41630955116
1588,159174.17904814906
1589,95353.81310712312
1590,131829.22129487092
1591,93592.50950681473
1592,120058.66310955732
1593,131987.62591360952
1594,147877.41285502326
1595,117644.3092599653
1596,241146.13366468527
1597,202966.1135546063
1598,210169.65464616165
1599,180546.9941471129
1600,156257.30839829892
1601,51488.202833359275
1602,119803.08129385774
1603,78314.53595755149
1604,284559.5427186727
1605,222519.4481332566
1606,164752.33522544886
1607,161265.4914572351
1608,202417.8348693426
1609,179074.27044244227
1610,147070.02909297403
1611,123862.60119539395
1612,181397.8834582546
1613,158378.4074580898
1614,138739.66362193562
1615,93289.39772043038
1616,69193.4495944578
1617,84713.01884547905
1618,119584.83012907195
1619,145706.19817818128
1620,148332.05151270365
1621,131174.44261232135
1622,148172.36055428017
1623,252116.05485849007
1624,204960.79182108003
1625,106136.62459534433
1626,178228.13273714032
1627,188143.9988897423
1628,276797.5524680824
1629,172668.29796343108
1630,344296.8749501384
1631,236462.44855355093
1632,246177.69092883344
1633,172390.40525007274
1634,182742.33754718263
1635,174023.31300853693
1636,155865.50286182517
1637,195414.59731364896
1638,190183.58311998102
1639,181271.40243048104
1640,246113.78656824701
1641,180196.1965599618
1642,255041.41763526743
1643,227302.6269762444
1644,229483.22624077738
1645,218305.537223617
1646,161044.23215706437
1647,155983.29174343942
1648,125142.75155424477
1649,136826.68530565267
1650,111974.15309487416
1651,116366.35790898369
1652,102931.86215492553
1653,105973.95000632002
1654,141783.86520968782
1655,133567.92814246798
1656,137861.78499323572
1657,143592.13832988136
1658,144838.93210319593
1659,116648.56695584903
1660,149522.6635587507
1661,421405.1402063462
1662,363473.30230265926
1663,373816.3876392646
1664,459916.74824973335
1665,332028.59333659295
1666,326210.533356384
1667,357278.2852221003
1668,352005.7714323276
1669,318456.8244390036
1670,352817.2578951465
1671,268572.79959643725
1672,393881.6161891747
1673,286870.4169268359
1674,250842.2325725853
1675,210106.14584354474
1676,206887.6204112114
1677,215878.99649583202
1678,441180.4435087048
1679,376405.77751099534
1680,329372.23962092213
1681,284047.6066613067
1682,314611.00520936126
1683,200008.9402588338
1684,184704.11970253751
1685,180732.19113059968
1686,160538.32607054204
1687,179837.51612889575
1688,194122.87078564218
1689,198119.20116817433
1690,195549.27524462846
1691,185676.06828956245
1692,258206.98685637
1693,179812.2340914422
1694,180029.94328976478
1695,165361.17763687496
1696,258079.96462980396
1697,174474.98833323998
1698,334957.0806759518
1699,319828.77276339266
1700,274634.1501476554
1701,285754.4867784291
1702,242399.4762199176
1703,238556.05445957358
1704,264734.36591032846
1705,252379.46005706722
1706,409409.2120122679
1707,234805.53412446444
1708,204940.84724841514
1709,250779.66751906142
1710,221872.53380923346
1711,276178.39755079965
1712,255821.42217575098
1713,276229.3702784648
1714,225061.32156498602
1715,208428.64576269832
1716,177858.6686852004
1717,173830.17055202578
1718,143738.44293203834
1719,215588.79200192745
1720,234653.72807332658
1721,171338.53636819308
1722,136750.31531617048
